Index,Dates,Time,Score,Class
247,11-10-2020, 17:01:29,21.88,snoring
248,11-10-2020, 17:01:30,21.47,snoring
249,11-10-2020, 17:01:30,20.59,snoring
250,11-10-2020, 17:01:31,19.39,snoring
251,11-10-2020, 17:01:32,19.39,snoring
252,11-10-2020, 17:01:35,16.25,snoring
253,11-10-2020, 17:01:35,16.25,snoring
254,11-10-2020, 17:01:36,18.62,snoring
255,11-10-2020, 17:01:36,20.19,snoring
256,11-10-2020, 17:01:37,20.19,snoring
257,11-10-2020, 17:01:38,20.8,snoring
258,11-10-2020, 17:01:38,24.17,snoring
259,11-10-2020, 17:01:39,24.17,snoring
260,11-10-2020, 17:01:39,23.18,snoring
261,11-10-2020, 17:01:43,16.32,snoring
262,11-10-2020, 17:01:44,16.66,snoring
263,11-10-2020, 17:01:45,16.66,snoring
264,11-10-2020, 17:01:48,19.65,snoring
265,11-10-2020, 17:01:48,19.65,snoring
266,11-10-2020, 17:01:49,20.6,snoring
267,11-10-2020, 17:01:49,20.04,snoring
268,11-10-2020, 17:01:50,20.04,snoring
269,11-10-2020, 17:01:50,20.53,snoring
270,11-10-2020, 17:01:51,21.9,snoring
271,11-10-2020, 17:01:52,22.88,snoring
272,11-10-2020, 17:01:52,22.88,snoring
273,11-10-2020, 17:01:53,23.96,snoring
274,11-10-2020, 17:01:53,23.96,snoring
275,11-10-2020, 17:01:54,22.08,snoring
276,11-10-2020, 17:01:55,20.01,snoring
277,11-10-2020, 17:01:55,18.69,snoring
278,11-10-2020, 17:01:56,18.69,snoring
279,11-10-2020, 17:01:56,17.77,snoring
280,11-10-2020, 17:01:57,18.5,snoring
281,11-10-2020, 17:01:57,18.5,snoring
282,11-10-2020, 17:01:58,19.7,snoring
283,11-10-2020, 17:01:59,21.37,snoring
284,11-10-2020, 17:01:59,21.37,snoring
285,11-10-2020, 17:02:00,17.11,snoring
286,11-10-2020, 17:02:00,16.33,snoring
287,11-10-2020, 17:02:01,18.73,snoring
288,11-10-2020, 17:02:02,18.73,snoring
289,11-10-2020, 17:02:02,17.91,snoring
290,11-10-2020, 17:02:03,17.91,snoring
291,11-10-2020, 17:02:03,17,snoring
292,11-10-2020, 17:02:05,18.28,snoring
293,11-10-2020, 17:02:05,18.28,snoring
294,11-10-2020, 17:02:06,18.35,snoring
295,11-10-2020, 17:02:09,20.13,snoring
296,11-10-2020, 17:02:11,16.21,snoring
297,11-10-2020, 17:02:12,19.24,snoring
298,11-10-2020, 17:02:12,19.24,snoring
299,11-10-2020, 17:02:13,18.95,snoring
300,11-10-2020, 17:02:13,21.55,snoring
301,11-10-2020, 17:02:14,22.91,snoring
302,11-10-2020, 17:02:15,22.91,snoring
303,11-10-2020, 17:02:25,19.67,snoring
304,11-10-2020, 17:02:26,19.67,snoring
305,11-10-2020, 17:02:39,14.75,snoring
306,11-10-2020, 17:02:57,14.87,snoring
307,11-10-2020, 17:02:58,19.48,snoring
308,11-10-2020, 17:02:59,20.43,snoring
309,11-10-2020, 17:02:59,20.43,snoring
310,11-10-2020, 17:03:00,19.78,snoring
311,11-10-2020, 17:03:00,11.78,snoring
312,11-10-2020, 17:03:01,11.78,snoring
313,11-10-2020, 17:03:06,14.58,snoring
314,11-10-2020, 17:03:06,14.58,snoring
315,11-10-2020, 17:03:07,20.85,snoring
316,11-10-2020, 17:03:07,23.87,snoring
317,11-10-2020, 17:03:08,22.43,snoring
318,11-10-2020, 17:03:09,22.43,snoring
319,11-10-2020, 17:03:09,20.93,snoring
320,11-10-2020, 17:03:10,17.21,snoring
321,11-10-2020, 17:03:10,17.21,snoring
322,11-10-2020, 17:03:13,19.18,snoring
323,11-10-2020, 17:03:14,19.18,snoring
324,11-10-2020, 17:03:15,21.33,snoring
325,11-10-2020, 17:03:15,21.6,snoring
326,11-10-2020, 17:03:16,19.9,snoring
327,11-10-2020, 17:03:16,19.9,snoring
328,11-10-2020, 17:03:17,17.55,snoring
329,11-10-2020, 17:03:25,22.33,snoring
330,11-10-2020, 17:03:26,22.33,snoring
331,11-10-2020, 17:03:26,21.85,snoring
332,11-10-2020, 17:03:27,21.66,snoring
333,11-10-2020, 17:03:27,21.66,snoring
334,11-10-2020, 17:03:28,20.42,snoring
335,11-10-2020, 17:03:29,20.02,snoring
336,11-10-2020, 17:03:29,20.02,snoring
337,11-10-2020, 17:03:30,20.09,snoring
338,11-10-2020, 17:03:30,24.08,snoring
339,11-10-2020, 17:03:31,19.19,snoring
340,11-10-2020, 17:03:32,19.19,snoring
341,11-10-2020, 17:03:32,18.59,snoring
342,11-10-2020, 17:03:33,18.59,snoring
343,11-10-2020, 17:03:33,22.52,snoring
344,11-10-2020, 17:03:34,21.87,snoring
345,11-10-2020, 17:03:35,20.77,snoring
346,11-10-2020, 17:03:35,20.77,snoring
347,11-10-2020, 17:03:36,22.28,snoring
348,11-10-2020, 17:03:36,21.37,snoring
349,11-10-2020, 17:03:37,23.26,snoring
350,11-10-2020, 17:03:38,23.58,snoring
351,11-10-2020, 17:03:38,17.75,snoring
352,11-10-2020, 17:03:39,17.75,snoring
353,11-10-2020, 17:03:39,17.54,snoring
354,11-10-2020, 17:03:40,18.21,snoring
355,11-10-2020, 17:03:40,18.21,snoring
356,11-10-2020, 17:03:41,18.43,snoring
357,11-10-2020, 17:03:42,17.15,snoring
358,11-10-2020, 17:03:42,17.15,snoring
359,11-10-2020, 17:03:43,18.33,snoring
360,11-10-2020, 17:03:43,19.1,snoring
361,11-10-2020, 17:03:44,21.32,snoring
362,11-10-2020, 17:03:45,21.32,snoring
363,11-10-2020, 17:03:45,23.24,snoring
364,11-10-2020, 17:03:46,16.98,snoring
365,11-10-2020, 17:03:46,16.98,snoring
366,11-10-2020, 17:03:47,15.95,snoring
367,11-10-2020, 17:03:49,17.07,snoring
368,11-10-2020, 17:03:50,17.06,snoring
369,11-10-2020, 17:03:51,17.06,snoring
370,11-10-2020, 17:03:51,19.16,snoring
371,11-10-2020, 17:03:52,22.88,snoring
372,11-10-2020, 17:03:52,22.88,snoring
373,11-10-2020, 17:04:12,24.17,snoring
374,11-10-2020, 17:04:13,24.17,snoring
375,11-10-2020, 17:04:14,21.46,snoring
376,11-10-2020, 17:04:14,22.34,snoring
377,11-10-2020, 17:04:15,22.34,snoring
378,11-10-2020, 17:04:21,16.97,snoring
379,11-10-2020, 17:04:22,18.97,snoring
380,11-10-2020, 17:04:22,18.97,snoring
381,11-10-2020, 17:04:23,19.57,snoring
382,11-10-2020, 17:04:25,19.42,snoring
383,11-10-2020, 17:04:26,19.42,snoring
384,11-10-2020, 17:04:27,18.87,snoring
385,11-10-2020, 17:04:27,17.61,snoring
386,11-10-2020, 17:04:28,16.49,snoring
387,11-10-2020, 17:04:28,16.49,snoring
388,11-10-2020, 17:04:29,16.96,snoring
389,11-10-2020, 17:04:30,16.79,snoring
390,11-10-2020, 17:04:30,16.79,snoring
391,11-10-2020, 17:04:31,16.87,snoring
392,11-10-2020, 17:04:31,18.16,snoring
393,11-10-2020, 17:04:32,18.16,snoring
394,11-10-2020, 17:04:32,19.1,snoring
395,11-10-2020, 17:04:33,17.18,snoring
396,11-10-2020, 17:04:34,18.68,snoring
397,11-10-2020, 17:04:34,18.68,snoring
398,11-10-2020, 17:04:35,17.6,snoring
399,11-10-2020, 17:04:35,17.6,snoring
400,11-10-2020, 17:04:36,17.26,snoring
401,11-10-2020, 17:04:37,17.41,snoring
402,11-10-2020, 17:04:37,20.26,snoring
403,11-10-2020, 17:04:38,20.26,snoring
404,11-10-2020, 17:04:38,21.2,snoring
405,11-10-2020, 17:04:39,18.95,snoring
406,11-10-2020, 17:04:40,18.95,snoring
407,11-10-2020, 17:04:40,19.38,snoring
408,11-10-2020, 17:04:41,19.9,snoring
409,11-10-2020, 17:04:41,19.9,snoring
410,11-10-2020, 17:04:42,20.77,snoring
411,11-10-2020, 17:04:43,22.43,snoring
412,11-10-2020, 17:04:43,20.93,snoring
413,11-10-2020, 17:04:44,20.93,snoring
414,11-10-2020, 17:04:47,17.48,snoring
415,11-10-2020, 17:04:47,17.48,snoring
416,11-10-2020, 17:04:48,19.37,snoring
417,11-10-2020, 17:04:49,19.37,snoring
418,11-10-2020, 17:04:50,20.5,snoring
419,11-10-2020, 17:04:50,19.05,snoring
420,11-10-2020, 17:04:51,19.05,snoring
421,11-10-2020, 17:04:51,18.57,snoring
422,11-10-2020, 17:04:52,19.43,snoring
423,11-10-2020, 17:04:53,20.16,snoring
424,11-10-2020, 17:04:53,20.16,snoring
425,11-10-2020, 17:04:54,22.78,snoring
426,11-10-2020, 17:04:54,22.78,snoring
427,11-10-2020, 17:04:55,22.39,snoring
428,11-10-2020, 17:04:56,21.31,snoring
429,11-10-2020, 17:04:56,20.67,snoring
430,11-10-2020, 17:04:57,20.67,snoring
431,11-10-2020, 17:04:57,20.93,snoring
432,11-10-2020, 17:04:58,20.57,snoring
433,11-10-2020, 17:04:59,20.57,snoring
434,11-10-2020, 17:04:59,21.99,snoring
435,11-10-2020, 17:05:00,21.68,snoring
436,11-10-2020, 17:05:00,21.68,snoring
437,11-10-2020, 17:05:01,20.74,snoring
438,11-10-2020, 17:05:01,21.57,snoring
439,11-10-2020, 17:05:02,20.64,snoring
440,11-10-2020, 17:05:03,20.64,snoring
441,11-10-2020, 17:05:03,22.61,snoring
442,11-10-2020, 17:05:04,22.47,snoring
443,11-10-2020, 17:05:04,22.47,snoring
444,11-10-2020, 17:05:05,22.29,snoring
445,11-10-2020, 17:05:06,21.88,snoring
446,11-10-2020, 17:05:06,21.88,snoring
447,11-10-2020, 17:05:07,21.5,snoring
448,11-10-2020, 17:05:07,22.1,snoring
449,11-10-2020, 17:05:08,22.35,snoring
450,11-10-2020, 17:05:09,22.35,snoring
451,11-10-2020, 17:05:09,22.32,snoring
452,11-10-2020, 17:05:10,17.1,snoring
453,11-10-2020, 17:05:10,17.1,snoring
454,11-10-2020, 17:05:11,17.85,snoring
455,11-10-2020, 17:05:12,18.76,snoring
456,11-10-2020, 17:05:12,18.76,snoring
457,11-10-2020, 17:05:13,20.45,snoring
458,11-10-2020, 17:05:13,20.66,snoring
459,11-10-2020, 17:05:14,20.66,snoring
460,11-10-2020, 17:05:15,20.79,snoring
461,11-10-2020, 17:05:15,24.28,snoring
462,11-10-2020, 17:05:16,22.04,snoring
463,11-10-2020, 17:05:16,22.04,snoring
464,11-10-2020, 17:05:17,21.82,snoring
465,11-10-2020, 17:05:17,22.4,snoring
466,11-10-2020, 17:05:18,22.4,snoring
467,11-10-2020, 17:05:19,23.1,snoring
468,11-10-2020, 17:05:19,21.13,snoring
469,11-10-2020, 17:05:20,21.13,snoring
470,11-10-2020, 17:05:20,22.19,snoring
471,11-10-2020, 17:05:21,22.72,snoring
472,11-10-2020, 17:05:22,21.39,snoring
473,11-10-2020, 17:05:22,21.39,snoring
474,11-10-2020, 17:05:23,21.04,snoring
475,11-10-2020, 17:05:23,21.04,snoring
476,11-10-2020, 17:05:24,23.39,snoring
477,11-10-2020, 17:05:25,22.39,snoring
478,11-10-2020, 17:05:25,21.36,snoring
479,11-10-2020, 17:05:26,21.36,snoring
480,11-10-2020, 17:05:26,22.64,snoring
481,11-10-2020, 17:05:27,21.52,snoring
482,11-10-2020, 17:05:28,21.52,snoring
483,11-10-2020, 17:05:28,20.59,snoring
484,11-10-2020, 17:05:29,20.58,snoring
485,11-10-2020, 17:05:29,20.58,snoring
486,11-10-2020, 17:05:30,21.7,snoring
487,11-10-2020, 17:05:31,17.8,snoring
488,11-10-2020, 17:05:31,16.65,snoring
489,11-10-2020, 17:05:32,16.65,snoring
490,11-10-2020, 17:05:32,17.12,snoring
491,11-10-2020, 17:05:33,19.6,snoring
492,11-10-2020, 17:05:34,17.53,snoring
493,11-10-2020, 17:05:34,20.47,snoring
494,11-10-2020, 17:05:39,20.91,snoring
495,11-10-2020, 17:05:40,20.46,snoring
496,11-10-2020, 17:05:41,20.62,snoring
497,11-10-2020, 17:05:41,20.62,snoring
498,11-10-2020, 17:05:42,20.41,snoring
499,11-10-2020, 17:05:42,20.88,snoring
500,11-10-2020, 17:05:43,20.88,snoring
501,11-10-2020, 17:05:44,17.55,snoring
502,11-10-2020, 17:05:44,17.6,snoring
503,11-10-2020, 17:05:45,17.6,snoring
504,11-10-2020, 17:05:45,17.74,snoring
505,11-10-2020, 17:05:46,22.21,snoring
